ITEMID	KEY	TYPE	CATEGORY	SECTION	DOMAIN	GRADELEVEL	DETAILS
179	CCSS.MATH.CONTENT.4.NBT.B.6	standard	Grade 4: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	4	Find whole-number quotients and remainders with up to four-digit dividends and one-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.
180	CCSS.MATH.CONTENT.4.NF.A	cluster	Grade 4: Number and Operations with FractionsÂ	math-content-standards	Number and Operations with Fractions	4	Extend understanding of fraction equivalence and ordering.
181	CCSS.MATH.CONTENT.4.NF.A.1	standard	Grade 4: Number and Operations with FractionsÂ	math-content-standards	Number and Operations with Fractions	4	Explain why a fraction a/b is equivalent to a fraction (n × a)/(n × b) by using visual fraction models, with attention to how the number and size of the parts differ even though the two fractions themselves are the same size. Use this principle to recognize and generate equivalent fractions.
182	CCSS.MATH.CONTENT.4.NF.A.2	standard	Grade 4: Number and Operations with FractionsÂ	math-content-standards	Number and Operations with Fractions	4	Compare two fractions with different numerators and different denominators, e.g., by creating common denominators or numerators, or by comparing to a benchmark fraction such as 1/2. Recognize that comparisons are valid only when the two fractions refer to the same whole. Record the results of comparisons with symbols >, =, or <, and justify the conclusions, e.g., by using a visual fraction model.
183	CCSS.MATH.CONTENT.4.NF.B	cluster	Grade 4: Number and Operations with FractionsÂ	math-content-standards	Number and Operations with Fractions	4	Build fractions from unit fractions.
184	CCSS.MATH.CONTENT.4.NF.B.3	standard	Grade 4: Number and Operations with FractionsÂ	math-content-standards	Number and Operations with Fractions	4	Understand a fraction a/b with a > 1 as a sum of fractions 1/b.
185	CCSS.MATH.CONTENT.4.NF.B.3.A	substandard	Grade 4: Number and Operations with FractionsÂ	math-content-standards	Number and Operations with Fractions	4	Understand addition and subtraction of fractions as joining and separating parts referring to the same whole.
186	CCSS.MATH.CONTENT.4.NF.B.3.B	substandard	Grade 4: Number and Operations with FractionsÂ	math-content-standards	Number and Operations with Fractions	4	Decompose a fraction into a sum of fractions with the same denominator in more than one way, recording each decomposition by an equation. Justify decompositions, e.g., by using a visual fraction model.
187	CCSS.MATH.CONTENT.4.NF.B.3.C	substandard	Grade 4: Number and Operations with FractionsÂ	math-content-standards	Number and Operations with Fractions	4	Add and subtract mixed numbers with like denominators, e.g., by replacing each mixed number with an equivalent fraction, and/or by using properties of operations and the relationship between addition and subtraction.
188	CCSS.MATH.CONTENT.4.NF.B.3.D	substandard	Grade 4: Number and Operations with FractionsÂ	math-content-standards	Number and Operations with Fractions	4	Solve word problems involving addition and subtraction of fractions referring to the same whole and having like denominators, e.g., by using visual fraction models and equations to represent the problem.
189	CCSS.MATH.CONTENT.4.NF.B.4	standard	Grade 4: Number and Operations with FractionsÂ	math-content-standards	Number and Operations with Fractions	4	Apply and extend previous understandings of multiplication to multiply a fraction by a whole number.
190	CCSS.MATH.CONTENT.4.NF.B.4.A	substandard	Grade 4: Number and Operations with FractionsÂ	math-content-standards	Number and Operations with Fractions	4	Understand a fraction a/b as a multiple of 1/b.
191	CCSS.MATH.CONTENT.4.NF.B.4.B	substandard	Grade 4: Number and Operations with FractionsÂ	math-content-standards	Number and Operations with Fractions	4	Understand a multiple of a/b as a multiple of 1/b, and use this understanding to multiply a fraction by a whole number.
192	CCSS.MATH.CONTENT.4.NF.B.4.C	substandard	Grade 4: Number and Operations with FractionsÂ	math-content-standards	Number and Operations with Fractions	4	Solve word problems involving multiplication of a fraction by a whole number, e.g., by using visual fraction models and equations to represent the problem.
193	CCSS.MATH.CONTENT.4.NF.C	cluster	Grade 4: Number and Operations with FractionsÂ	math-content-standards	Number and Operations with Fractions	4	Understand decimal notation for fractions, and compare decimal fractions.
194	CCSS.MATH.CONTENT.4.NF.C.5	standard	Grade 4: Number and Operations with FractionsÂ	math-content-standards	Number and Operations with Fractions	4	Express a fraction with denominator 10 as an equivalent fraction with denominator 100, and use this technique to add two fractions with respective denominators 10 and 100.
195	CCSS.MATH.CONTENT.4.NF.C.6	standard	Grade 4: Number and Operations with FractionsÂ	math-content-standards	Number and Operations with Fractions	4	Use decimal notation for fractions with denominators 10 or 100.
196	CCSS.MATH.CONTENT.4.NF.C.7	standard	Grade 4: Number and Operations with FractionsÂ	math-content-standards	Number and Operations with Fractions	4	Compare two decimals to hundredths by reasoning about their size. Recognize that comparisons are valid only when the two decimals refer to the same whole. Record the results of comparisons with the symbols >, =, or <, and justify the conclusions, e.g., by using a visual model.
197	CCSS.MATH.CONTENT.4.MD.A	cluster	Grade 4: Measurement and Data	math-content-standards	Measurement and Data	4	Solve problems involving measurement and conversion of measurements.
198	CCSS.MATH.CONTENT.4.MD.A.1	standard	Grade 4: Measurement and Data	math-content-standards	Measurement and Data	4	Know relative sizes of measurement units within one system of units including km, m, cm; kg, g; lb, oz.; l, ml; hr, min, sec. Within a single system of measurement, express measurements in a larger unit in terms of a smaller unit. Record measurement equivalents in a two-column table.
199	CCSS.MATH.CONTENT.4.MD.A.2	standard	Grade 4: Measurement and Data	math-content-standards	Measurement and Data	4	Use the four operations to solve word problems involving distances, intervals of time, liquid volumes, masses of objects, and money, including problems involving simple fractions or decimals, and problems that require expressing measurements given in a larger unit in terms of a smaller unit. Represent measurement quantities using diagrams such as number line diagrams that feature a measurement scale.
200	CCSS.MATH.CONTENT.4.MD.A.3	standard	Grade 4: Measurement and Data	math-content-standards	Measurement and Data	4	Apply the area and perimeter formulas for rectangles in real world and mathematical problems.
201	CCSS.MATH.CONTENT.4.MD.B	cluster	Grade 4: Measurement and Data	math-content-standards	Measurement and Data	4	Represent and interpret data.
202	CCSS.MATH.CONTENT.4.MD.B.4	standard	Grade 4: Measurement and Data	math-content-standards	Measurement and Data	4	Make a line plot to display a data set of measurements in fractions of a unit (1/2, 1/4, 1/8). Solve problems involving addition and subtraction of fractions by using information presented in line plots.
203	CCSS.MATH.CONTENT.4.MD.C	cluster	Grade 4: Measurement and Data	math-content-standards	Measurement and Data	4	Geometric measurement: understand concepts of angle and measure angles.
204	CCSS.MATH.CONTENT.4.MD.C.5	standard	Grade 4: Measurement and Data	math-content-standards	Measurement and Data	4	Recognize angles as geometric shapes that are formed wherever two rays share a common endpoint, and understand concepts of angle measurement:
205	CCSS.MATH.CONTENT.4.MD.C.5.A	substandard	Grade 4: Measurement and Data	math-content-standards	Measurement and Data	4	An angle is measured with reference to a circle with its center at the common endpoint of the rays, by considering the fraction of the circular arc between the points where the two rays intersect the circle. An angle that turns through 1/360 of a circle is called a `one-degree angle,` and can be used to measure angles.
206	CCSS.MATH.CONTENT.4.MD.C.5.B	substandard	Grade 4: Measurement and Data	math-content-standards	Measurement and Data	4	An angle that turns through n one-degree angles is said to have an angle measure of n degrees.
207	CCSS.MATH.CONTENT.4.MD.C.6	standard	Grade 4: Measurement and Data	math-content-standards	Measurement and Data	4	Measure angles in whole-number degrees using a protractor. Sketch angles of specified measure.
208	CCSS.MATH.CONTENT.4.MD.C.7	standard	Grade 4: Measurement and Data	math-content-standards	Measurement and Data	4	Recognize angle measure as additive. When an angle is decomposed into non-overlapping parts, the angle measure of the whole is the sum of the angle measures of the parts. Solve addition and subtraction problems to find unknown angles on a diagram in real world and mathematical problems, e.g., by using an equation with a symbol for the unknown angle measure.
209	CCSS.MATH.CONTENT.4.G.A	cluster	Grade 4: Geometry	math-content-standards	Geometry	4	Draw and identify lines and angles, and classify shapes by properties of their lines and angles.
210	CCSS.MATH.CONTENT.4.G.A.1	standard	Grade 4: Geometry	math-content-standards	Geometry	4	Draw points, lines, line segments, rays, angles (right, acute, obtuse), and perpendicular and parallel lines. Identify these in two-dimensional figures.
211	CCSS.MATH.CONTENT.4.G.A.2	standard	Grade 4: Geometry	math-content-standards	Geometry	4	Classify two-dimensional figures based on the presence or absence of parallel or perpendicular lines, or the presence or absence of angles of a specified size. Recognize right triangles as a category, and identify right triangles.
212	CCSS.MATH.CONTENT.4.G.A.3	standard	Grade 4: Geometry	math-content-standards	Geometry	4	Recognize a line of symmetry for a two-dimensional figure as a line across the figure such that the figure can be folded along the line into matching parts. Identify line-symmetric figures and draw lines of symmetry.
213	CCSS.MATH.CONTENT.5.OA.A	cluster	Grade 5: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	5	Write and interpret numerical expressions.
214	CCSS.MATH.CONTENT.5.OA.A.1	standard	Grade 5: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	5	Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.
215	CCSS.MATH.CONTENT.5.OA.A.2	standard	Grade 5: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	5	Write simple expressions that record calculations with numbers, and interpret numerical expressions without evaluating them.
216	CCSS.MATH.CONTENT.5.OA.B	cluster	Grade 5: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	5	Analyze patterns and relationships.
217	CCSS.MATH.CONTENT.5.OA.B.3	standard	Grade 5: Operations and Algebraic Thinking	math-content-standards	Operations and Algebraic Thinking	5	Generate two numerical patterns using two given rules. Identify apparent relationships between corresponding terms. Form ordered pairs consisting of corresponding terms from the two patterns, and graph the ordered pairs on a coordinate plane.
218	CCSS.MATH.CONTENT.5.NBT.A	cluster	Grade 5: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	5	Understand the place value system.
219	CCSS.MATH.CONTENT.5.NBT.A.1	standard	Grade 5: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	5	Recognize that in a multi-digit number, a digit in one place represents 10 times as much as it represents in the place to its right and 1/10 of what it represents in the place to its left.
220	CCSS.MATH.CONTENT.5.NBT.A.2	standard	Grade 5: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	5	Explain patterns in the number of zeros of the product when multiplying a number by powers of 10, and explain patterns in the placement of the decimal point when a decimal is multiplied or divided by a power of 10. Use whole-number exponents to denote powers of 10.
221	CCSS.MATH.CONTENT.5.NBT.A.3	standard	Grade 5: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	5	Read, write, and compare decimals to thousandths.
222	CCSS.MATH.CONTENT.5.NBT.A.3.A	substandard	Grade 5: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	5	Read and write decimals to thousandths using base-ten numerals, number names, and expanded form, e.g., 347.392 = 3 × 100 + 4 × 10 + 7 × 1 + 3 × (1/10) + 9 × (1/100) + 2 × (1/1000).
223	CCSS.MATH.CONTENT.5.NBT.A.3.B	substandard	Grade 5: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	5	Compare two decimals to thousandths based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons.
224	CCSS.MATH.CONTENT.5.NBT.A.4	standard	Grade 5: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	5	Use place value understanding to round decimals to any place.
225	CCSS.MATH.CONTENT.5.NBT.B	cluster	Grade 5: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	5	Perform operations with multi-digit whole numbers and with decimals to hundredths.
226	CCSS.MATH.CONTENT.5.NBT.B.5	standard	Grade 5: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	5	Fluently multiply multi-digit whole numbers using the standard algorithm.
227	CCSS.MATH.CONTENT.5.NBT.B.6	standard	Grade 5: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	5	Find whole-number quotients of whole numbers with up to four-digit dividends and two-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.
228	CCSS.MATH.CONTENT.5.NBT.B.7	standard	Grade 5: Number and Operations in Base Ten	math-content-standards	Number and Operations in Base Ten	5	Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.
229	CCSS.MATH.CONTENT.5.NF.A	cluster	Grade 5: Number and Operations with Fractions	math-content-standards	Number and Operations with Fractions	5	Use equivalent fractions as a strategy to add and subtract fractions.
230	CCSS.MATH.CONTENT.5.NF.A.1	standard	Grade 5: Number and Operations with Fractions	math-content-standards	Number and Operations with Fractions	5	Add and subtract fractions with unlike denominators (including mixed numbers) by replacing given fractions with equivalent fractions in such a way as to produce an equivalent sum or difference of fractions with like denominators.
231	CCSS.MATH.CONTENT.5.NF.A.2	standard	Grade 5: Number and Operations with Fractions	math-content-standards	Number and Operations with Fractions	5	Solve word problems involving addition and subtraction of fractions referring to the same whole, including cases of unlike denominators, e.g., by using visual fraction models or equations to represent the problem. Use benchmark fractions and number sense of fractions to estimate mentally and assess the reasonableness of answers.
232	CCSS.MATH.CONTENT.5.NF.B	cluster	Grade 5: Number and Operations with Fractions	math-content-standards	Number and Operations with Fractions	5	Apply and extend previous understandings of multiplication and division.
233	CCSS.MATH.CONTENT.5.NF.B.3	standard	Grade 5: Number and Operations with Fractions	math-content-standards	Number and Operations with Fractions	5	Interpret a fraction as division of the numerator by the denominator (a/b = a ÷ b). Solve word problems involving division of whole numbers leading to answers in the form of fractions or mixed numbers, e.g., by using visual fraction models or equations to represent the problem.
234	CCSS.MATH.CONTENT.5.NF.B.4	standard	Grade 5: Number and Operations with Fractions	math-content-standards	Number and Operations with Fractions	5	Apply and extend previous understandings of multiplication to multiply a fraction or whole number by a fraction.
235	CCSS.MATH.CONTENT.5.NF.B.4.A	substandard	Grade 5: Number and Operations with Fractions	math-content-standards	Number and Operations with Fractions	5	Interpret the product (a/b) × q as a parts of a partition of q into b equal parts; equivalently, as the result of a sequence of operations a × q ÷ b.
236	CCSS.MATH.CONTENT.5.NF.B.4.B	substandard	Grade 5: Number and Operations with Fractions	math-content-standards	Number and Operations with Fractions	5	Find the area of a rectangle with fractional side lengths by tiling it with unit squares of the appropriate unit fraction side lengths, and show that the area is the same as would be found by multiplying the side lengths. Multiply fractional side lengths to find areas of rectangles, and represent fraction products as rectangular areas.
237	CCSS.MATH.CONTENT.5.NF.B.5	standard	Grade 5: Number and Operations with Fractions	math-content-standards	Number and Operations with Fractions	5	Interpret multiplication as scaling (resizing), by:
238	CCSS.MATH.CONTENT.5.NF.B.5.A	substandard	Grade 5: Number and Operations with Fractions	math-content-standards	Number and Operations with Fractions	5	Comparing the size of a product to the size of one factor on the basis of the size of the other factor, without performing the indicated multiplication.
239	CCSS.MATH.CONTENT.5.NF.B.5.B	substandard	Grade 5: Number and Operations with Fractions	math-content-standards	Number and Operations with Fractions	5	Explaining why multiplying a given number by a fraction greater than 1 results in a product greater than the given number (recognizing multiplication by whole numbers greater than 1 as a familiar case); explaining why multiplying a given number by a fraction less than 1 results in a product smaller than the given number; and relating the principle of fraction equivalence a/b = (n × a)/(n × b) to the effect of multiplying a/b by 1.
240	CCSS.MATH.CONTENT.5.NF.B.6	standard	Grade 5: Number and Operations with Fractions	math-content-standards	Number and Operations with Fractions	5	Solve real world problems involving multiplication of fractions and mixed numbers, e.g., by using visual fraction models or equations to represent the problem.
241	CCSS.MATH.CONTENT.5.NF.B.7	standard	Grade 5: Number and Operations with Fractions	math-content-standards	Number and Operations with Fractions	5	Apply and extend previous understandings of division to divide unit fractions by whole numbers and whole numbers by unit fractions.
242	CCSS.MATH.CONTENT.5.NF.B.7.A	substandard	Grade 5: Number and Operations with Fractions	math-content-standards	Number and Operations with Fractions	5	Interpret division of a unit fraction by a non-zero whole number, and compute such quotients.
243	CCSS.MATH.CONTENT.5.NF.B.7.B	substandard	Grade 5: Number and Operations with Fractions	math-content-standards	Number and Operations with Fractions	5	Interpret division of a whole number by a unit fraction, and compute such quotients.
244	CCSS.MATH.CONTENT.5.NF.B.7.C	substandard	Grade 5: Number and Operations with Fractions	math-content-standards	Number and Operations with Fractions	5	Solve real world problems involving division of unit fractions by non-zero whole numbers and division of whole numbers by unit fractions, e.g., by using visual fraction models and equations to represent the problem.
245	CCSS.MATH.CONTENT.5.MD.A	cluster	Grade 5: Measurement and Data	math-content-standards	Measurement and Data	5	Convert like measurement units within a given measurement system.
246	CCSS.MATH.CONTENT.5.MD.A.1	standard	Grade 5: Measurement and Data	math-content-standards	Measurement and Data	5	Convert among different-sized standard measurement units within a given measurement system (e.g., convert 5 cm to 0.05 m), and use these conversions in solving multi-step, real world problems.
247	CCSS.MATH.CONTENT.5.MD.B	cluster	Grade 5: Measurement and Data	math-content-standards	Measurement and Data	5	Represent and interpret data.
248	CCSS.MATH.CONTENT.5.MD.B.2	standard	Grade 5: Measurement and Data	math-content-standards	Measurement and Data	5	Make a line plot to display a data set of measurements in fractions of a unit (1/2, 1/4, 1/8). Use operations on fractions for this grade to solve problems involving information presented in line plots.
249	CCSS.MATH.CONTENT.5.MD.C	cluster	Grade 5: Measurement and Data	math-content-standards	Measurement and Data	5	Geometric measurement: understand concepts of volume.
250	CCSS.MATH.CONTENT.5.MD.C.3	standard	Grade 5: Measurement and Data	math-content-standards	Measurement and Data	5	Recognize volume as an attribute of solid figures and understand concepts of volume measurement.
251	CCSS.MATH.CONTENT.5.MD.C.3.A	substandard	Grade 5: Measurement and Data	math-content-standards	Measurement and Data	5	A cube with side length 1 unit, called a `unit cube,` is said to have `one cubic unit` of volume, and can be used to measure volume.
252	CCSS.MATH.CONTENT.5.MD.C.3.B	substandard	Grade 5: Measurement and Data	math-content-standards	Measurement and Data	5	A solid figure which can be packed without gaps or overlaps using n unit cubes is said to have a volume of n cubic units.
253	CCSS.MATH.CONTENT.5.MD.C.4	standard	Grade 5: Measurement and Data	math-content-standards	Measurement and Data	5	Measure volumes by counting unit cubes, using cubic cm, cubic in, cubic ft, and improvised units.
254	CCSS.MATH.CONTENT.5.MD.C.5	standard	Grade 5: Measurement and Data	math-content-standards	Measurement and Data	5	Relate volume to the operations of multiplication and addition and solve real world and mathematical problems involving volume.
255	CCSS.MATH.CONTENT.5.MD.C.5.A	substandard	Grade 5: Measurement and Data	math-content-standards	Measurement and Data	5	Find the volume of a right rectangular prism with whole-number side lengths by packing it with unit cubes, and show that the volume is the same as would be found by multiplying the edge lengths, equivalently by multiplying the height by the area of the base. Represent threefold whole-number products as volumes, e.g., to represent the associative property of multiplication.
256	CCSS.MATH.CONTENT.5.MD.C.5.B	substandard	Grade 5: Measurement and Data	math-content-standards	Measurement and Data	5	Apply the formulas V = l × w × h and V = b × h for rectangular prisms to find volumes of right rectangular prisms with whole-number edge lengths in the context of solving real world and mathematical problems.
257	CCSS.MATH.CONTENT.5.MD.C.5.C	substandard	Grade 5: Measurement and Data	math-content-standards	Measurement and Data	5	Recognize volume as additive. Find volumes of solid figures composed of two non-overlapping right rectangular prisms by adding the volumes of the non-overlapping parts, applying this technique to solve real world problems.
258	CCSS.MATH.CONTENT.5.G.A	cluster	Grade 5: Geometry	math-content-standards	Geometry	5	Graph points on the coordinate plane to solve real-world and mathematical problems.
259	CCSS.MATH.CONTENT.5.G.A.1	standard	Grade 5: Geometry	math-content-standards	Geometry	5	Use a pair of perpendicular number lines, called axes, to define a coordinate system, with the intersection of the lines (the origin) arranged to coincide with the 0 on each line and a given point in the plane located by using an ordered pair of numbers, called its coordinates. Understand that the first number indicates how far to travel from the origin in the direction of one axis, and the second number indicates how far to travel in the direction of the second axis, with the convention that the names of the two axes and the coordinates correspond (e.g., x-axis and x-coordinate, y-axis and y-coordinate).
260	CCSS.MATH.CONTENT.5.G.A.2	standard	Grade 5: Geometry	math-content-standards	Geometry	5	Represent real world and mathematical problems by graphing points in the first quadrant of the coordinate plane, and interpret coordinate values of points in the context of the situation.
261	CCSS.MATH.CONTENT.5.G.B	cluster	Grade 5: Geometry	math-content-standards	Geometry	5	Classify two-dimensional figures into categories based on their properties.
262	CCSS.MATH.CONTENT.5.G.B.3	standard	Grade 5: Geometry	math-content-standards	Geometry	5	Understand that attributes belonging to a category of two-dimensional figures also belong to all subcategories of that category.
263	CCSS.MATH.CONTENT.5.G.B.4	standard	Grade 5: Geometry	math-content-standards	Geometry	5	Classify two-dimensional figures in a hierarchy based on properties.
264	CCSS.MATH.CONTENT.6.RP.A	cluster	Grade 6: Ratios and Proportional Relationships	math-content-standards	Ratios and Proportional Relationships	6	Understand ratio concepts and use ratio reasoning to solve problems.
265	CCSS.MATH.CONTENT.6.RP.A.1	standard	Grade 6: Ratios and Proportional Relationships	math-content-standards	Ratios and Proportional Relationships	6	Understand the concept of a ratio and use ratio language to describe a ratio relationship between two quantities.
266	CCSS.MATH.CONTENT.6.RP.A.2	standard	Grade 6: Ratios and Proportional Relationships	math-content-standards	Ratios and Proportional Relationships	6	Understand the concept of a unit rate a/b associated with a ratio a:b with b ≠ 0, and use rate language in the context of a ratio relationship.
267	CCSS.MATH.CONTENT.6.RP.A.3	standard	Grade 6: Ratios and Proportional Relationships	math-content-standards	Ratios and Proportional Relationships	6	Use ratio and rate reasoning to solve real-world and mathematical problems, e.g., by reasoning about tables of equivalent ratios, tape diagrams, double number line diagrams, or equations.
268	CCSS.MATH.CONTENT.6.RP.A.3.A	substandard	Grade 6: Ratios and Proportional Relationships	math-content-standards	Ratios and Proportional Relationships	6	Make tables of equivalent ratios relating quantities with whole-number measurements, find missing values in the tables, and plot the pairs of values on the coordinate plane. Use tables to compare ratios.
269	CCSS.MATH.CONTENT.6.RP.A.3.B	substandard	Grade 6: Ratios and Proportional Relationships	math-content-standards	Ratios and Proportional Relationships	6	Solve unit rate problems including those involving unit pricing and constant speed.
270	CCSS.MATH.CONTENT.6.RP.A.3.C	substandard	Grade 6: Ratios and Proportional Relationships	math-content-standards	Ratios and Proportional Relationships	6	Find a percent of a quantity as a rate per 100 (e.g., 30% of a quantity means 30/100 times the quantity); solve problems involving finding the whole, given a part and the percent.
271	CCSS.MATH.CONTENT.6.RP.A.3.D	substandard	Grade 6: Ratios and Proportional Relationships	math-content-standards	Ratios and Proportional Relationships	6	Use ratio reasoning to convert measurement units; manipulate and transform units appropriately when multiplying or dividing quantities.
272	CCSS.MATH.CONTENT.6.NS.A	cluster	Grade 6: The Number System	math-content-standards	The Number System	6	Apply and extend previous understandings of multiplication and division to divide fractions by fractions.
273	CCSS.MATH.CONTENT.6.NS.A.1	standard	Grade 6: The Number System	math-content-standards	The Number System	6	Interpret and compute quotients of fractions, and solve word problems involving division of fractions by fractions, e.g., by using visual fraction models and equations to represent the problem.
274	CCSS.MATH.CONTENT.6.NS.B	cluster	Grade 6: The Number System	math-content-standards	The Number System	6	Compute fluently with multi-digit numbers and find common factors and multiples.
275	CCSS.MATH.CONTENT.6.NS.B.2	standard	Grade 6: The Number System	math-content-standards	The Number System	6	Fluently divide multi-digit numbers using the standard algorithm.
276	CCSS.MATH.CONTENT.6.NS.B.3	standard	Grade 6: The Number System	math-content-standards	The Number System	6	Fluently add, subtract, multiply, and divide multi-digit decimals using the standard algorithm for each operation.
277	CCSS.MATH.CONTENT.6.NS.B.4	standard	Grade 6: The Number System	math-content-standards	The Number System	6	Find the greatest common factor of two whole numbers less than or equal to 100 and the least common multiple of two whole numbers less than or equal to 12. Use the distributive property to express a sum of two whole numbers 1-100 with a common factor as a multiple of a sum of two whole numbers with no common factor.
278	CCSS.MATH.CONTENT.6.NS.C	cluster	Grade 6: The Number System	math-content-standards	The Number System	6	Apply and extend previous understandings of numbers to the system of rational numbers.
279	CCSS.MATH.CONTENT.6.NS.C.5	standard	Grade 6: The Number System	math-content-standards	The Number System	6	Understand that positive and negative numbers are used together to describe quantities having opposite directions or values (e.g., temperature above/below zero, elevation above/below sea level, credits/debits, positive/negative electric charge); use positive and negative numbers to represent quantities in real-world contexts, explaining the meaning of 0 in each situation.
280	CCSS.MATH.CONTENT.6.NS.C.6	standard	Grade 6: The Number System	math-content-standards	The Number System	6	Understand a rational number as a point on the number line. Extend number line diagrams and coordinate axes familiar from previous grades to represent points on the line and in the plane with negative number coordinates.
281	CCSS.MATH.CONTENT.6.NS.C.6.A	substandard	Grade 6: The Number System	math-content-standards	The Number System	6	Recognize opposite signs of numbers as indicating locations on opposite sides of 0 on the number line; recognize that the opposite of the opposite of a number is the number itself, e.g., -(-3) = 3, and that 0 is its own opposite.
282	CCSS.MATH.CONTENT.6.NS.C.6.B	substandard	Grade 6: The Number System	math-content-standards	The Number System	6	Understand signs of numbers in ordered pairs as indicating locations in quadrants of the coordinate plane; recognize that when two ordered pairs differ only by signs, the locations of the points are related by reflections across one or both axes.
283	CCSS.MATH.CONTENT.6.NS.C.6.C	substandard	Grade 6: The Number System	math-content-standards	The Number System	6	Find and position integers and other rational numbers on a horizontal or vertical number line diagram; find and position pairs of integers and other rational numbers on a coordinate plane.
284	CCSS.MATH.CONTENT.6.NS.C.7	standard	Grade 6: The Number System	math-content-standards	The Number System	6	Understand ordering and absolute value of rational numbers.
285	CCSS.MATH.CONTENT.6.NS.C.7.A	substandard	Grade 6: The Number System	math-content-standards	The Number System	6	Interpret statements of inequality as statements about the relative position of two numbers on a number line diagram.
286	CCSS.MATH.CONTENT.6.NS.C.7.B	substandard	Grade 6: The Number System	math-content-standards	The Number System	6	Write, interpret, and explain statements of order for rational numbers in real-world contexts.
287	CCSS.MATH.CONTENT.6.NS.C.7.C	substandard	Grade 6: The Number System	math-content-standards	The Number System	6	Understand the absolute value of a rational number as its distance from 0 on the number line; interpret absolute value as magnitude for a positive or negative quantity in a real-world situation.
288	CCSS.MATH.CONTENT.6.NS.C.7.D	substandard	Grade 6: The Number System	math-content-standards	The Number System	6	Distinguish comparisons of absolute value from statements about order.
289	CCSS.MATH.CONTENT.6.NS.C.8	standard	Grade 6: The Number System	math-content-standards	The Number System	6	Solve real-world and mathematical problems by graphing points in all four quadrants of the coordinate plane. Include use of coordinates and absolute value to find distances between points with the same first coordinate or the same second coordinate.
290	CCSS.MATH.CONTENT.6.EE.A	cluster	Grade 6: Expressions and Equations	math-content-standards	Expressions and Equations	6	Apply and extend previous understandings of arithmetic to algebraic expressions.
291	CCSS.MATH.CONTENT.6.EE.A.1	standard	Grade 6: Expressions and Equations	math-content-standards	Expressions and Equations	6	Write and evaluate numerical expressions involving whole-number exponents.
292	CCSS.MATH.CONTENT.6.EE.A.2	standard	Grade 6: Expressions and Equations	math-content-standards	Expressions and Equations	6	Write, read, and evaluate expressions in which letters stand for numbers.
293	CCSS.MATH.CONTENT.6.EE.A.2.A	substandard	Grade 6: Expressions and Equations	math-content-standards	Expressions and Equations	6	Write expressions that record operations with numbers and with letters standing for numbers.
294	CCSS.MATH.CONTENT.6.EE.A.2.B	substandard	Grade 6: Expressions and Equations	math-content-standards	Expressions and Equations	6	Identify parts of an expression using mathematical terms (sum, term, product, factor, quotient, coefficient); view one or more parts of an expression as a single entity.
295	CCSS.MATH.CONTENT.6.EE.A.2.C	substandard	Grade 6: Expressions and Equations	math-content-standards	Expressions and Equations	6	Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).
296	CCSS.MATH.CONTENT.6.EE.A.3	standard	Grade 6: Expressions and Equations	math-content-standards	Expressions and Equations	6	Apply the properties of operations to generate equivalent expressions.
297	CCSS.MATH.CONTENT.6.EE.A.4	standard	Grade 6: Expressions and Equations	math-content-standards	Expressions and Equations	6	Identify when two expressions are equivalent (i.e., when the two expressions name the same number regardless of which value is substituted into them).
298	CCSS.MATH.CONTENT.6.EE.B	cluster	Grade 6: Expressions and Equations	math-content-standards	Expressions and Equations	6	Reason about and solve one-variable equations and inequalities.
299	CCSS.MATH.CONTENT.6.EE.B.5	standard	Grade 6: Expressions and Equations	math-content-standards	Expressions and Equations	6	Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.
